1,이상해씨,318
2,이상해풀,405
3,이상해꽃,525
4,파이리,309
5,리자드,405
6,리자몽,534
7,꼬부기,314
8,어니부기,405
9,거북왕,530
10,캐터피,195
11,단데기,205
12,버터플,395
13,뿔충이,195
14,딱충이,205
15,독침붕,395
16,구구,251
17,피죤,349
18,피죤투,479
19,꼬렛,253
20,레트라,413
21,깨비참,262
22,깨비드릴조,442
23,아보,288
24,아보크,438
25,피카츄,320
26,라이츄,485
27,모래두지,300
28,고지,450
29,니드런♀,275
30,니드리나,365
31,니드퀸,505
32,니드런♂,273
33,니드리노,365
34,니드킹,505
35,삐삐,323
36,픽시,483
37,식스테일,299
38,나인테일,505
39,푸린,270
40,푸크린,435
41,주뱃,245
42,골뱃,455
43,뚜벅쵸,320
44,냄새꼬,395
45,라플레시아,490
46,파라스,285
47,파라섹트,405
48,콘팡,305
49,도나리,450
50,디그다,265
51,닥트리오,405
52,나옹,290
53,페르시온,440
54,고라파덕,320
55,골덕,500
56,망키,305
57,성원숭,455
58,가디,350
59,윈디,555
60,발챙이,300
61,슈륙챙이,385
62,강챙이,510
63,캐이시,310
64,윤겔라,400
65,후딘,500
66,알통몬,305
67,근육몬,405
68,괴력몬,505
69,모다피,300
70,우츠동,390
71,우츠보트,490
72,왕눈해,335
73,독파리,515
74,꼬마돌,300
75,데구리,390
76,딱구리,495
77,포니타,410
78,날쌩마,500
79,야돈,315
80,야도란,490
81,코일,325
82,레어코일,465
83,파오리,352
84,두두,310
85,두트리오,460
86,쥬쥬,325
87,쥬레곤,475
88,질퍽이,325
89,질뻐기,500
90,셀러,305
91,파르셀,525
92,고오스,310
93,고우스트,405
94,팬텀,500
95,롱스톤,385
96,슬리프,328
97,슬리퍼,483
98,크랩,325
99,킹크랩,475
100,찌리리공,330
101,붐볼,480
102,아라리,325
103,나시,520
104,탕구리,320
105,텅구리,425
106,시라소몬,455
107,홍수몬,455
108,내루미,385
109,또가스,340
110,또도가스,490
111,뿔카노,345
112,코뿌리,485
113,럭키,450
114,덩쿠리,435
115,캥카,490
116,쏘드라,295
117,시드라,440
118,콘치,320
119,왕콘치,450
120,별가사리,340
121,아쿠스타,520
122,마임맨,460
123,스라크,500
124,루주라,455
125,에레브,490
126,마그마,495
127,쁘사이저,500
128,켄타로스,490
129,잉어킹,200
130,갸라도스,540
131,라프라스,535
132,메타몽,288
133,이브이,325
134,샤미드,525
135,쥬피썬더,525
136,부스터,525
137,폴리곤,395
138,암나이트,355
139,암스타,495
140,투구,355
141,투구푸스,495
142,프테라,515
143,잠만보,540
144,프리져,580
145,썬더,580
146,파이어,580
147,미뇽,300
148,신뇽,420
149,망나뇽,600
150,뮤츠,680
151,뮤,600
