두번치기,74.99999766
록온,18.74999941
몸통박치기,56.24999824
물기,74.99999766
물대포,56.24999824
벌레먹음,56.24999824
연속자르기,37.49999883
용의숨결,74.99999766
풀베기,56.24999824
할퀴기,74.99999766
핥기,56.24999824
강철날개,65.62499795
기습,46.87499854
날개치기,46.87499854
눈싸라기,46.87499854
덩굴채찍,46.87499854
독찌르기,56.24999824
독침,28.12499912
돌떨구기,74.99999766
막치기,46.87499854
머드숏,28.12499912
메탈크로우,46.87499854
번개엄니,74.99999766
불꽃세례,65.62499795
불꽃엄니,74.99999766
불릿펀치,56.24999824
사이코커터,28.12499912
섀도크루,56.24999824
속여때리기,56.24999824
스파크,37.49999883
안다리걸기,37.49999883
얼음숨결,65.62499795
얼음엄니,74.99999766
요정의바람,28.12499912
용해액,56.24999824
잎날가르기,93.74999707
전광석화,46.87499854
전기쇼크,28.12499912
쪼기,56.24999824
카운터,74.99999766
태권당수,46.87499854
거품,43.74999863
기관총,31.24999902
놀래키기,31.24999902
돌진,31.24999902
드래곤테일,56.24999824
떨어뜨리기,74.99999766
바위깨기,56.24999824
바크아웃,31.24999902
벌레의저항,56.24999824
변신,0
병상첨병,37.49999883
사념의박치기,49.99999844
신통력,49.99999844
아이언테일,56.24999824
애교부리기,99.99999688
얼음뭉치,56.24999824
엉겨붙기,37.49999883
에어슬래시,56.24999824
잠재파워,56.24999824
진흙뿌리기,68.74999785
차지빔,31.24999902
폭포오르기,74.99999766
프레젠트,18.74999941
회오리불꽃,56.24999824
바람일으키기,74.99999766
볼트체인지,56.24999824
불태우기,56.24999824
염동력,74.99999766
튀어오르기,0
하품,0
V제너레이트,100
거품광선,21.6
공중날기,73.24444444
괴상한바람,38.4
그래스믹서,44
그로우펀치,19.2
김밥말이,53.33333333
깜짝베기,57.6
깨물어부수기,63.28888889
깨트리다,44.8
냉동펀치,55.2
누르기,70.4
눈사태,83.2
니트로차지,51.84
대포무노포,38.4
덤벼들기,53.33333333
독엄니,44.8
드래곤크루,57.6
드릴라이너,73.24444444
락블레스트,49.6
로킥,38.4
리프블레이드,83.2
마그넷봄,63.28888889
마지막일침,19.2
모래지옥,21.6
미러숏,38.4
방전,58.31111111
번개펀치,55.2
불꽃펀치,55.2
불새,68.26666667
브레이즈킥,55.2
블러스트번,92.16
뼈다귀치기,44.8
뿔찌르기,44.8
사이코부스트,83.2
사이코브레이크,83.2
사이코쇼크,63.28888889
섀도본,68.26666667
섀도펀치,44.8
성스러운칼,70.4
소금물,47.36
속임수,63.28888889
스톤샤워,68.26666667
시저크로스,51.2
싱크로노이즈,65.28
씨폭탄,55.2
아이언헤드,56.32
아쿠아제트,38.4
아쿠아테일,57.6
악의파동,65.28
암석포,92.16
애시드봄,11.52
야습,43.37777778
얼다바람,53.33333333
엄청난힘,88.8
오물공격,49.6
오물폭탄,65.28
와일드볼트,93.15555556
원시의힘,38.4
웨더볼,70.4
웨더볼(물),70.4
웨더볼(불꽃),70.4
웨더볼(얼음),70.4
은빛바람,38.4
인파이트,93.15555556
제비반환,48.35555556
지옥의바퀴,47.36
진흙폭탄,55.2
짓밟기,55.2
찝게햄머,69.76
찝기,38.4
차밍보이스,63.28888889
코멧펀치,83.2
크로스촙,57.6
크로스포이즌,44.8
탁류,38.4
트라이어택,51.84
파도타기,66.4
파멸의소원,77.6
파워휩,74.24
폭발펀치,74.24
풀묶기,74.24
플라잉프레스,94.4
필살앞니,65.28
하드플랜트,93.15555556
하이드로캐논,83.2
헤비봄버,56.32
회오리,38.4
회전부리,66.4
10만볼트,66.90909091
꽃보라,69.41538462
나이트헤드,42.47272727
냉동빔,66.90909091
대지의힘,66.90909091
뒀다쓰기,66.90909091
드레인키스,42.47272727
땅고르기,53.33333333
러스터캐논,64
매지컬샤인,64
메가폰,75.05454545
문포스,75.73333333
물의파동,45.86666667
미래예지,76.30769231
미러코트,42.47272727
번개,68.26666667
벌레의야단법석,60.8
보복,75.73333333
불꽃튀기기,50.61818182
브레이브버드,99.49090909
사이코키네시스,66.90909091
섀도볼,75.05454545
스톤에지,75.05454545
스피드스타,42.47272727
시그널빔,54.69090909
암석봉인,45.86666667
에너지볼,66.90909091
에어컷터,42.47272727
역린,75.73333333
열탕,53.33333333
오로라빔,53.33333333
오물웨이브,69.41538462
오버히트,99.49090909
용성군,96.98461538
용의파동,60.8
은혜갚기,76.8
자이로볼,53.33333333
지진,76.30769231
치근거리기,60.8
테크노버스터(불꽃),91.34545455
파동탄,75.05454545
파워젬,53.33333333
폭풍,69.41538462
화염방사,66.90909091
화염자동차,42.47272727
화풀이,0
환상빔,45.86666667
구멍파기,49.6
기가임팩트,77.6
기합구슬,77.22666667
눈보라,77.22666667
더스트슈트,71.25333333
로케트박치기,71.25333333
발버둥,9.28
불대문자,72
솔라빔,77.6
에어로블라스트,95.14666667
열풍,50.34666667
전자포,77.6
파괴광선,77.6
하이드로펌프,71.25333333
